番号,48,
名前,エスト,
呼び名,エスト,
基礎,体力,3500
基礎,气力,2000
基礎,种族,48
基礎,种族思考,48
素質,强硬,
素質,沉着,
素質,好奇心,
素質,不重贞操,
素質,无视污臭,
素質,承认快感,
素質,好色,
素質,性变态,
素質,双性恋,
素質,魅惑,
素質,高挑体型,
素質,Ｖ敏感,
素質,巨乳,2
素質,回复快,
素質,魅力,
素質,禁忌知识,
素質,魔法使,
素質,犄角,6
素質,耳形,
素質,上位梦魔,2
能力,欲望,2
能力,技巧,5
能力,Ｃ感觉,2
能力,Ｖ感觉,2
能力,Ａ感觉,1
能力,侍奉精神,2
能力,露出癖,1
能力,受虐倾向,1
能力,百合倾向,2
能力,精液上瘾,2
能力,Ｂ感觉,1
能力,施虐倾向,1
経験,Ｖ经验,150
経験,Ａ经验,20
経験,自慰经验,10
経験,Ｖ性交经验,120
経験,Ａ性交经验,5
経験,Ｖ插入经验,5
経験,Ａ插入经验,1
経験,精液经验,400
経験,口交经验,80
経験,手淫经验,100
経験,足交经验,30
経験,腰技经验,100
経験,乳交经验,50
経験,Ａ刺激经验,20
経験,舔阴经验,30
経験,百合经验,100
経験,亲吻经验,80
;フラグ,10,1
