番号,34,
名前,ストゥーナ,
呼び名,ストゥーナ,
基礎,体力,3000
基礎,気力,1500
基礎,種族,34
基礎,種族思考,34
素質,高慢,
素質,生意気,
素質,強気,
素質,意地悪,
素質,好奇心,
素質,一線越えない,
素質,貞操無頓着,
素質,恥薄い,
素質,痛みに強い,
素質,粗野,
素質,嘔吐反射耐性,
素質,薬毒耐性,
素質,汚臭鈍感,
素質,長身,
素質,Ｂ敏感,
素質,巨乳,2
素質,回復早い,
素質,しっぽ,7
素質,力持ち,
素質,耳の形,
素質,上位夢魔,
素質,ウルズグン,
素質,エオルグン,
素質,ロギン,
素質,バインド,7
能力,欲望,3
能力,技巧,2
能力,Ｃ感覚,2
能力,Ｖ感覚,1
能力,奉仕精神,1
能力,精液中毒,3
能力,Ｂ感覚,1
能力,サドっ気,3
経験,Ｖ経験,100
経験,絶頂経験,2
経験,Ｖ性交経験,70
経験,精液経験,200
経験,フェラ経験,180
経験,手淫経験,100
経験,腰使い経験,60
経験,パイズリ経験,50
経験,Ａ責め経験,25
経験,クンニ経験,10
経験,嗜虐快楽経験,60
経験,レズ経験,40
経験,キス経験,25
;フラグ,10,1
相性,35,200
